,,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,,Away,
,,,25,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,26,,27,,28,,,
Period,Frame,Time [s],Player25,,Player15,,Player16,,Player17,,Player18,,Player19,,Player20,,Player21,,Player22,,Player23,,Player24,,Player26,,Player27,,Player28,,Ball,
1,1220,48.8,0.81889,0.52708,0.56041,0.49657,0.57304,0.63565,0.52796,0.80255,0.39087,0.2802,0.43599,0.60742,0.44963,0.76603,0.37938,0.81199,0.30849,0.92025,0.30629,0.67841,0.31,0.53954,NaN,NaN,NaN,NaN,NaN,NaN,0.44579,0.69372
1,1221,48.84,0.82045,0.52679,0.56234,0.4964,0.5748,0.63533,0.52995,0.8015,0.39329,0.28146,0.43786,0.60771,0.45148,0.76345,0.38076,0.81109,0.30993,0.91925,0.3073,0.67804,0.3117,0.5393,NaN,NaN,NaN,NaN,NaN,NaN,0.44714,0.69135
1,1222,48.88,0.82202,0.52648,0.56429,0.49612,0.57657,0.635,0.53197,0.8004,0.39571,0.28271,0.43973,0.60796,0.45334,0.76087,0.38216,0.81016,0.31137,0.91823,0.30832,0.67768,0.31341,0.539,NaN,NaN,NaN,NaN,NaN,NaN,0.4485,0.689
1,1223,48.92,0.8236,0.52618,0.56623,0.49589,0.57834,0.63451,0.53398,0.79927,0.39816,0.28394,0.4416,0.60812,0.45522,0.75826,0.38354,0.80922,0.31283,0.91722,0.30934,0.67728,0.31512,0.53873,NaN,NaN,NaN,NaN,NaN,NaN,0.44989,0.68663
1,1224,48.96,0.82519,0.52581,0.56818,0.4956,0.58013,0.63402,0.53603,0.79813,0.40062,0.28515,0.44348,0.60823,0.45711,0.75564,0.38493,0.80825,0.31431,0.9162,0.31037,0.6769,0.31685,0.53845,NaN,NaN,NaN,NaN,NaN,NaN,0.4513,0.68424
1,1225,49,0.82678,0.5254,0.57013,0.49516,0.58193,0.63353,0.53806,0.797,0.4031,0.28627,0.44537,0.60832,0.45901,0.75304,0.38631,0.80731,0.31578,0.91516,0.31141,0.67651,0.31858,0.53811,NaN,NaN,NaN,NaN,NaN,NaN,0.45273,0.68186
1,1226,49.04,0.82836,0.525,0.57208,0.49471,0.58372,0.63296,0.54011,0.79581,0.40558,0.28737,0.44727,0.60842,0.46093,0.75042,0.38769,0.80633,0.31728,0.91411,0.31246,0.67611,0.32032,0.53775,NaN,NaN,NaN,NaN,NaN,NaN,0.45419,0.67943
1,1227,49.08,0.82994,0.52459,0.57405,0.49416,0.58551,0.63234,0.54215,0.79456,0.40809,0.28853,0.44919,0.60846,0.46284,0.74782,0.38909,0.80534,0.31878,0.91305,0.31351,0.67569,0.32207,0.53738,NaN,NaN,NaN,NaN,NaN,NaN,0.4559,0.67624
1,1228,49.12,0.83151,0.52418,0.576,0.49355,0.5873,0.63177,0.5442,0.79329,0.41062,0.28967,0.45112,0.6085,0.46476,0.74521,0.39048,0.80435,0.32028,0.91197,0.31457,0.67526,0.32381,0.53701,NaN,NaN,NaN,NaN,NaN,NaN,0.45853,0.6678
1,1229,49.16,0.83309,0.52371,0.57796,0.49283,0.5891,0.63118,0.54626,0.79201,0.41315,0.2908,0.45304,0.60849,0.4667,0.74256,0.39189,0.80338,0.3218,0.91089,0.31564,0.67482,0.32556,0.53662,NaN,NaN,NaN,NaN,NaN,NaN,0.46115,0.65936
1,1230,49.2,0.83467,0.52321,0.57993,0.49206,0.59091,0.63048,0.54831,0.79073,0.41571,0.29192,0.45495,0.60839,0.46864,0.73995,0.39328,0.80239,0.32333,0.90977,0.31672,0.67433,0.32733,0.53623,NaN,NaN,NaN,NaN,NaN,NaN,0.46378,0.65093
1,1231,49.24,0.83625,0.5227,0.5819,0.49128,0.59272,0.62978,0.55039,0.78945,0.41826,0.29295,0.45687,0.60825,0.4706,0.73733,0.39467,0.80135,0.32487,0.90868,0.31781,0.67387,0.3291,0.53582,NaN,NaN,NaN,NaN,NaN,NaN,0.4664,0.64249
1,1232,49.28,0.83783,0.52215,0.58385,0.49035,0.59452,0.62907,0.55246,0.78815,0.42082,0.29398,0.45879,0.60806,0.47256,0.73473,0.39607,0.80032,0.32643,0.90758,0.31889,0.67336,0.33087,0.53535,NaN,NaN,NaN,NaN,NaN,NaN,0.46903,0.63405
1,1233,49.32,0.83942,0.52154,0.5858,0.48936,0.59632,0.62828,0.55452,0.78681,0.42341,0.29506,0.46071,0.60783,0.47452,0.73212,0.39747,0.79924,0.32799,0.90648,0.31998,0.67292,0.33264,0.53483,NaN,NaN,NaN,NaN,NaN,NaN,0.47165,0.62562
1,1234,49.36,0.84099,0.52099,0.58773,0.48832,0.59812,0.62741,0.5566,0.78544,0.42601,0.29612,0.46264,0.60759,0.47649,0.72946,0.39888,0.79817,0.32956,0.90537,0.32108,0.67247,0.33442,0.53434,NaN,NaN,NaN,NaN,NaN,NaN,0.47428,0.61718
