,,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,Home,,,
,,,11,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,12,,13,,14,,,
Period,Frame,Time [s],Player11,,Player1,,Player2,,Player3,,Player4,,Player5,,Player6,,Player7,,Player8,,Player9,,Player10,,Player12,,Player13,,Player14,,Ball,
1,1220,48.8,0.05426,0.49582,0.28002,0.85791,0.25032,0.69625,0.2481,0.55163,0.27737,0.35894,0.46568,0.90546,0.34954,0.71198,0.37734,0.61056,0.44229,0.37868,0.56449,0.57124,0.44711,0.69141,NaN,NaN,NaN,NaN,NaN,NaN,0.44579,0.69372
1,1221,48.84,0.05446,0.49561,0.28134,0.85712,0.25145,0.69612,0.24915,0.55118,0.27886,0.35772,0.46826,0.905,0.351,0.71106,0.37891,0.60871,0.44468,0.37755,0.56679,0.5717,0.44847,0.68906,NaN,NaN,NaN,NaN,NaN,NaN,0.44714,0.69135
1,1222,48.88,0.05468,0.4954,0.28267,0.85631,0.25259,0.69599,0.25022,0.5507,0.28037,0.35649,0.47084,0.90451,0.35248,0.71014,0.38049,0.60684,0.44708,0.37641,0.56911,0.57211,0.44985,0.68669,NaN,NaN,NaN,NaN,NaN,NaN,0.4485,0.689
1,1223,48.92,0.05492,0.49519,0.284,0.8555,0.25373,0.69583,0.25131,0.55025,0.28189,0.35523,0.47342,0.90401,0.35395,0.70923,0.38207,0.60495,0.44949,0.37526,0.57142,0.57256,0.45127,0.6843,NaN,NaN,NaN,NaN,NaN,NaN,0.44989,0.68663
1,1224,48.96,0.05519,0.49504,0.28532,0.85468,0.25487,0.69563,0.25238,0.54974,0.28342,0.35395,0.476,0.90349,0.35543,0.70836,0.38365,0.60306,0.4519,0.3741,0.57374,0.57305,0.4527,0.68192,NaN,NaN,NaN,NaN,NaN,NaN,0.4513,0.68424
1,1225,49,0.05549,0.49493,0.28665,0.85386,0.25603,0.69541,0.25348,0.54926,0.28497,0.35264,0.47856,0.90295,0.35693,0.70751,0.38525,0.60119,0.45435,0.37299,0.57605,0.57359,0.45415,0.67949,NaN,NaN,NaN,NaN,NaN,NaN,0.45273,0.68186
1,1226,49.04,0.05581,0.49482,0.28799,0.85305,0.25719,0.69519,0.25457,0.54871,0.28654,0.35131,0.48111,0.90238,0.35843,0.70666,0.38683,0.59927,0.4568,0.37174,0.57838,0.57409,0.45564,0.67708,NaN,NaN,NaN,NaN,NaN,NaN,0.45419,0.67943
1,1227,49.08,0.05614,0.49472,0.28934,0.85224,0.25835,0.69495,0.25567,0.54815,0.28814,0.35003,0.48367,0.9018,0.35996,0.70583,0.3884,0.5973,0.45925,0.37049,0.5807,0.57458,0.45713,0.67465,NaN,NaN,NaN,NaN,NaN,NaN,0.4559,0.67624
1,1228,49.12,0.05646,0.49461,0.29068,0.85143,0.25952,0.69473,0.25679,0.54762,0.28977,0.34879,0.48622,0.90118,0.36149,0.705,0.38999,0.59539,0.4617,0.36928,0.58301,0.57508,0.45865,0.6722,NaN,NaN,NaN,NaN,NaN,NaN,0.45853,0.6678
1,1229,49.16,0.05681,0.4945,0.29203,0.85064,0.2607,0.69447,0.25789,0.54707,0.29138,0.34746,0.48875,0.90055,0.36303,0.70415,0.3916,0.59348,0.46416,0.36801,0.58533,0.57557,0.4602,0.66977,NaN,NaN,NaN,NaN,NaN,NaN,0.46115,0.65936
1,1230,49.2,0.05716,0.4944,0.29338,0.84984,0.2619,0.69427,0.25901,0.54651,0.29302,0.34619,0.49128,0.89988,0.36456,0.70334,0.39318,0.5915,0.46662,0.36679,0.58765,0.57607,0.46177,0.66736,NaN,NaN,NaN,NaN,NaN,NaN,0.46378,0.65093
1,1231,49.24,0.05751,0.49429,0.29475,0.84906,0.26311,0.69406,0.26014,0.54599,0.29467,0.34489,0.4938,0.89921,0.36611,0.70256,0.39476,0.58948,0.46911,0.36556,0.58998,0.57652,0.46336,0.66497,NaN,NaN,NaN,NaN,NaN,NaN,0.4664,0.64249
1,1232,49.28,0.05785,0.49418,0.29612,0.84828,0.26433,0.69387,0.26127,0.54545,0.29633,0.34351,0.49631,0.89852,0.36767,0.70177,0.39635,0.58748,0.4716,0.36439,0.59231,0.57698,0.46497,0.6626,NaN,NaN,NaN,NaN,NaN,NaN,0.46903,0.63405
1,1233,49.32,0.05819,0.49407,0.2975,0.84751,0.26554,0.69364,0.26241,0.5449,0.29801,0.34212,0.49882,0.89783,0.36923,0.70097,0.39795,0.58548,0.47411,0.36327,0.59461,0.57744,0.46661,0.66022,NaN,NaN,NaN,NaN,NaN,NaN,0.47165,0.62562
1,1234,49.36,0.05856,0.49397,0.29888,0.84677,0.26676,0.6934,0.26358,0.54438,0.29971,0.34076,0.50131,0.8971,0.37081,0.70017,0.39954,0.58346,0.47663,0.36214,0.59692,0.5779,0.46825,0.65782,NaN,NaN,NaN,NaN,NaN,NaN,0.47428,0.61718
